shell_time,distance,angle,enemy_speed,offset_x,angle_rad,sin_angle,cos_angle,offset_per_dist,travel_mult_angle,speed_ratio,enemy_speed_pred
8.65,13.55,74,21.0,3.5,1.2915436464758039,0.9612616959383189,0.27563735581699916,0.25830258302583026,8.314913669866458,0.2610789678906781,4.818753426351096
4.6,8.38,86,30.0,2.5,1.5009831567151235,0.9975640502598242,0.06975647374412523,0.29832935560859186,4.588794631195191,0.15181156120038528,4.280733653668217
8.54,13.35,16,23.0,1.8,0.2792526803190927,0.27563735581699916,0.9612616959383189,0.1348314606741573,2.353943018677173,0.12233986959669588,2.558687036842261
5.5,9.93,68,30.0,3.0,1.1868238913561442,0.9271838545667874,0.37460659341591196,0.3021148036253776,5.09951120011733,0.18054542171901422,6.18555999646271
7.51,12.73,23,35.5,4.0,0.4014257279586958,0.39073112848927377,0.9205048534524404,0.31421838177533384,2.934390774954446,0.19099414196923525,6.4585925045496975
6.65,11.64,27,35.5,3.9,0.47123889803846897,0.45399049973954675,0.8910065241883679,0.33505154639175255,3.019036823267986,0.19229479264443444,6.69302373243469
6.23,11.15,31,35.5,3.5,0.5410520681182421,0.5150380749100542,0.8571673007021123,0.3139013452914798,3.2086872066896377,0.17645194192551286,6.3269505024206785
4.83,9.37,48,34.0,6.5,0.8377580409572782,0.7431448254773942,0.6691306063588582,0.6937033084311633,3.5893895070558144,0.37087435994563245,11.485631154419274
4.43,8.5,53,34.0,5.0,0.9250245035569946,0.7986355100472928,0.6018150231520484,0.5882352941176471,3.537955309509507,0.2821669791948129,9.21515571123877
4.49,8.77,50,35.5,5.5,0.8726646259971648,0.766044443118978,0.6427876096865394,0.6271379703534778,3.4395395496042114,0.30261293802967903,10.045021211522895
4.21,8.14,56,35.5,5.0,0.9773843811168246,0.8290375725550417,0.5591929034707468,0.6142506142506142,3.490248180456726,0.27232270805623005,9.653766365557727
4.0,7.88,63,35.5,4.7,1.0995574287564276,0.8910065241883678,0.4539904997395468,0.5964467005076143,3.564026096753471,0.2608168362042417,9.532812359134915
3.06,6.41,66,30.0,3.3,1.1519173063162575,0.9135454576426009,0.4067366430758002,0.514820592823713,2.795449100386359,0.23042476129909759,6.724896096235225
2.95,6.14,73,30.0,3.2,1.2740903539558606,0.9563047559630354,0.29237170472273677,0.5211726384364821,2.821099030090955,0.22201122417698613,6.733795020343568
2.89,5.94,80,30.0,3.3,1.3962634015954636,0.984807753012208,0.17364817766693041,0.5555555555555555,2.8460944062052813,0.226089887166129,6.887278475115498
2.85,6.06,86,30.0,3.4,1.5009831567151235,0.9975640502598242,0.06975647374412523,0.5610561056105611,2.843057543240499,0.24098237158513275,7.15874696368697
2.01,4.28,70,33.0,1.3,1.2217304763960306,0.9396926207859083,0.3420201433256688,0.3037383177570093,1.8887821677796754,0.08388357050870156,2.8491325304604325
3.28,6.56,59,32.5,3.7,1.0297442586766545,0.8571673007021123,0.5150380749100542,0.5640243902439025,2.8115087463029282,0.22769223827394236,7.439451304020492
2.97,5.3,71,32.5,1.6,1.239183768915974,0.9455185755993167,0.32556815445715676,0.30188679245283023,2.8081901695299707,0.08785285827280088,2.9823557776246212
