ship_name,ship_id,country,maximum_dispersion,firing_range,initial_he_velocity,initial_ap_velocity,maximum_speed
STAR_Kitakaze,STAR_Kitakaze,Japan,108,12,1000,1000,36
Shimakaze,Shimakaze,Japan,100,11,915,915,39
Harugumo,Harugumo,Japan,109,12,1000,1000,35
Hayate,Hayate,Japan,102,11,915,915,37
AL_Shimakaze,AL_Shimakaze,Japan,105,11,915,915,39
Yamagiri,Yamagiri,Japan,105,12,915,915,39
Medea,Medea,U.K.,102,8,664,664,32
Valkyrie,Valkyrie,U.K.,95,9,811,811,34
Campbeltown,Campbeltown,U.K.,84,9,884,884,35
Wakeful,Wakeful,U.K.,96,9,811,811,35
Acasta,Acasta,U.K.,90,10,808,808,35
Icarus,Icarus,U.K.,102,10,808,808,35
Gallant,Gallant,U.K.,91,10,808,808,36
Jervis,Jervis,U.K.,97,10,808,808,36
Jupiter_'42,Jupiter_'42,U.K.,105,12,811,808,36
Lightning,Lightning,U.K.,106,11,774,774,36
Cossack,Cossack,U.K.,104,11,808,808,36
Cossack_B,Cossack_B,U.K.,104,11,808,808,36
Eskimo,Eskimo,,,,,,
Jutland,Jutland,U.K.,100,11,746,746,34
Somme,Somme,U.K.,108,12,746,746,34
Barfleur,Barfleur,,,,,,
Daring,Daring,U.K.,110,12,746,746,35
Druid,Druid,U.K.,105,12,,975,35
Enseigne_Gabolde,Enseigne_Gabolde,France,102,8,780,780,31
Fusilier,Fusilier,France,103,9,780,780,34
Bourrasque,Bourrasque,France,103,10,725,725,33
L'Adroit,L'Adroit,France,99,11,725,725,33
Jaguar,Jaguar,France,97,10,725,725,35
Siroco,Siroco,France,103,11,725,725,33
Duchaffault,Duchaffault,France,100,11,950,950,38
Guépard,Guépard,France,112,11,700,700,36
Aigle,Aigle,France,110,12,700,700,36
Le_Hardi,Le_Hardi,France,105,12,840,800,37
Vauquelin,Vauquelin,France,103,11,700,700,36
L'Aventurier,L'Aventurier,France,105,12,840,800,35
Le_Fantasque,Le_Fantasque,France,103,11,840,840,42
Le_Terrible,Le_Terrible,France,107,12,840,840,43
Orage,Orage,France,106,12,808,808,34
Mogador,Mogador,France,102,11,840,840,43
Cassard,Cassard,France,119,13,808,808,34
Kléber,Kléber,France,116,13,840,840,44
Marceau,Marceau,France,101,11,808,808,44
Kléber_CLR,Kléber_CLR,France,116,13,840,840,44
Kléber_TE,Kléber_TE,,,,,,
Longjiang,Longjiang,Pan-Asia,78,7,715,715,36
Phra_Ruang,Phra_Ruang,Pan-Asia,80,7,664,664,36
Shenyang,Shenyang,Pan-Asia,81,8,960,960,39
Jianwei,Jianwei,Pan-Asia,97,9,814,814,37
Fushun,Fushun,Pan-Asia,104,10,870,870,38
Anshan,Anshan,Pan-Asia,104,11,870,870,38
Gadjah_Mada,Gadjah_Mada,Pan-Asia,104,10,808,808,36
Hsienyang,Hsienyang,Pan-Asia,100,11,792,792,37
Siliwangi,Siliwangi,Pan-Asia,108,12,870,870,36
Loyang,Loyang,Pan-Asia,101,11,792,792,38
Fenyang,Fenyang,Pan-Asia,108,12,1000,1000,33
Loyang_B,Loyang_B,Pan-Asia,101,11,792,792,38
Zhu_Que,Zhu_Que,Pan-Asia,105,12,792,792,38
Ship_Smasha,Ship_Smasha,Pan-Asia,108,12,1000,1000,33
Chung_Mu,Chung_Mu,Pan-Asia,97,11,792,792,38
Nanning,Nanning,,,,,,
Yueyang,Yueyang,Pan-Asia,104,11,792,792,36
Lüshun,Lüshun,Pan-Asia,110,12,950,950,36
Kunming,Kunming,Pan-Asia,115,13,792,792,38
Álvaro_de_Bazán,Álvaro_de_Bazán,Spain,109,12,825,825,40
Van_Kinsbergen,Van_Kinsbergen,Netherlands,100,11,900,,25
Gelderland,Gelderland,Netherlands,102,11,820,820,20
Java,Java,Netherlands,112,11,900,900,30
De_Ruyter,De_Ruyter,Netherlands,119,12,900,900,32
Celebes,Celebes,Netherlands,120,12,900,900,30
Kijkduin,Kijkduin,Netherlands,133,13,900,900,33
Eendracht,Eendracht,Netherlands,125,13,900,900,33
Jaarsveld,Jaarsveld,,,,,,
Haarlem,Haarlem,Netherlands,178,14,925,925,32
De_Zeven_Provinciën,De_Zeven_Provinciën,Netherlands,143,16,900,900,32
Vrijheid,Vrijheid,Netherlands,5,5,,,5
Admiraal,Admiraal,,,,,,
Statenland,Statenland,,,,,,
Menno_van_Coehoorn,Menno_van_Coehoorn,,,,,,
Johan_de_Witt,Johan_de_Witt,Netherlands,182,14,900,900,32
Van_Speijk,Van_Speijk,Netherlands,140,15,925,925,32
Utrecht,Utrecht,,,,,,
Gouden_Leeuw,Gouden_Leeuw,Netherlands,186,16,890,890,33
Prins_van_Oranje,Prins_van_Oranje,Netherlands,234,10,,,1
Prins_van_Oranje_Golden,Prins_van_Oranje_Golden,,,,,,
Noord,Noord,,,,,,
Erie,Erie,U.S.A.,86,9,853,,20
Chester,Chester,U.S.A.,96,9,914,914,24
Albany,Albany,U.S.A.,83,9,853,853,20
St._Louis,St._Louis,U.S.A.,111,11,853,853,22
Charleston,Charleston,U.S.A.,118,12,853,853,22
Phoenix,Phoenix,U.S.A.,128,13,853,853,35
Omaha,Omaha,U.S.A.,137,13,914,914,34
Marblehead,Marblehead,U.S.A.,128,13,914,914,34
Marblehead_Lima,Marblehead_Lima,U.S.A.,128,13,914,914,34
Rattlehead,Rattlehead,U.S.A.,128,13,914,914,34
Cleveland,Cleveland,U.S.A.,140,14,812,762,32
Pensacola,Pensacola,U.S.A.,131,14,823,853,32
Dallas,Dallas,U.S.A.,131,13,812,762,32
Atlanta,Atlanta,U.S.A.,115,13,792,792,32
New_Orleans,New_Orleans,U.S.A.,134,14,823,853,32
Helena,Helena,U.S.A.,133,13,812,762,32
Indianapolis,Indianapolis,U.S.A.,149,16,823,853,32
