shell_travel_time,distance,angle,enemy_max_speed,enemy_actual_speed,offset_x
8.65,13.55,74,21.0,5.703607022628495,3.5
4.6,8.38,86,30.0,4.56546907930447,2.5
8.54,13.35,16,23.0,10.208403435994791,1.8
5.5,9.93,68,30.0,5.841736360793675,3.0
7.51,12.73,23,35.5,17.35283536010656,4.0
6.65,11.64,27,35.5,15.036583737610943,3.9
6.23,11.15,31,35.5,12.162294884536783,3.5
4.83,9.37,48,34.0,16.968066541754933,6.5
4.43,8.5,53,34.0,12.0125881425823,5.0
4.49,8.77,50,35.5,14.023679421145314,5.5
4.21,8.14,56,35.5,11.661061877460558,5.0
4.0,7.88,63,35.5,10.391618634256547,4.7
3.06,6.41,66,30.0,7.566941568378564,3.3
2.95,6.14,73,30.0,6.964661569986265,3.2
2.89,5.94,80,30.0,6.887333026361375,3.3
2.85,6.06,86,30.0,7.247127322127884,3.4
2.01,4.28,70,33.0,2.9458134955502375,1.3
3.28,6.56,59,32.5,8.633087139393446,3.7
2.97,5.3,71,32.5,3.019738510593592,1.6
3.61,7.03,54,30.0,7.221239236972456,3.0
3.16,6.18,104,30.0,3.4264641740348187,1.7
2.96,6.01,33,30.0,3.727983627448563,1.0
13.27,21.11,104,32.5,20.493833567799875,12.5
5.77,10.34,20,37.8,17.290477251709685,3.3
5.14,9.57,23,37.8,16.201294785568404,3.4
4.71,9.0,26,37.8,13.948567843290862,3.2
6.05,10.7,31,37.8,11.331907135958625,3.3
5.76,10.37,32,37.8,13.58959633088509,4.0
5.21,9.73,36,37.8,12.073690206529106,3.8
5.04,9.63,43,37.8,12.047054523442704,4.3
5.01,8.18,54,37.8,7.063598043077641,3.5
8.25,13.34,20,37.8,9.455406229860747,2.0
7.82,12.9,22,37.8,8.36683377930932,1.9
7.57,12.64,23,37.8,10.683491072895572,2.5
7.33,12.41,23,37.8,9.965925383377629,2.3
7.09,12.2,24,37.8,10.576459342033042,2.5
6.88,12.0,25,37.8,8.254191569136623,2.0
6.7,11.63,27,37.8,5.735211077714922,1.5
6.41,11.28,28,37.8,4.872873435496258,1.3
6.11,11.12,28,37.8,5.4272811719761584,1.4
7.67,12.69,14,37.0,14.361849655971087,2.1
6.76,11.66,22,37.0,13.813307891440745,3.0
5.67,10.25,30,37.0,9.038800705467374,2.5
4.97,9.44,33,37.0,10.811066401939692,3.1
4.44,9.09,37,37.0,13.607485480003037,4.0
3.97,7.94,41,37.0,10.6697716069407,3.5
