ship_name,ship_id,country,maximum_dispersion,firing_range,initial_he_velocity,initial_ap_velocity,maximum_speed
U-69,U-69,Germany,5.0,4.0,,,27.0
U-190,U-190,Germany,5.0,5.0,,,29.0
U-2501,U-2501,Germany,5.0,5.0,,,27.0
U-4501,U-4501,Germany,5.0,5.0,,,20.0
I-56,I-56,Japan,44.0,44.0,,,29.0
Undine,Undine,U.K.,5.0,4.0,,,20.0
Sturdy,Sturdy,U.K.,5.0,5.0,,,25.0
Alliance,Alliance,U.K.,5.0,5.0,,,31.0
Thrasher,Thrasher,U.K.,36.0,36.0,,,26.0
Cachalot,Cachalot,U.S.A.,5.0,4.0,,,27.0
Salmon,Salmon,U.S.A.,5.0,5.0,,,33.0
Balao,Balao,U.S.A.,5.0,5.0,,,30.0
Gato,Gato,U.S.A.,5.0,4.0,,,34.0
Archerfish,Archerfish,U.S.A.,64.0,6.0,,,33.0
S-189,S-189,U.S.S.R.,5.0,5.0,,,30.0
Xin_Zhong_Guo_14,Xin_Zhong_Guo_14,Pan-Asia,36.0,6.0,,,31.0
Groningen,Groningen,Netherlands,107.0,12.0,825.0,825.0,36.0
Tromp,Tromp,Netherlands,114.0,13.0,900.0,900.0,33.0
Sampson,Sampson,U.S.A.,73.0,7.0,884.0,884.0,29.0
Smith,Smith,U.S.A.,64.0,6.0,823.0,823.0,28.0
Wickes,Wickes,U.S.A.,27.0,8.0,884.0,884.0,34.0
Clemson,Clemson,U.S.A.,73.0,7.0,884.0,884.0,35.0
DD_214,DD_214,,,,,,
Nicholas,Nicholas,U.S.A.,96.0,10.0,960.0,960.0,37.0
Hill,Hill,U.S.A.,100.0,11.0,792.0,792.0,37.0
Farragut,Farragut,U.S.A.,100.0,11.0,792.0,792.0,36.0
Monaghan,Monaghan,U.S.A.,108.0,12.0,792.0,792.0,36.0
Mahan,Mahan,U.S.A.,102.0,10.0,792.0,792.0,35.0
Sims,Sims,U.S.A.,111.0,12.0,792.0,792.0,38.0
Hughes,Hughes,,,,,,
Sims_B,Sims_B,U.S.A.,111.0,12.0,792.0,792.0,38.0
