ship_name,ship_id,country,maximum_dispersion,firing_range,initial_he_velocity,initial_ap_velocity,maximum_speed
Duguay,Duguay,France,104,13,870,870,33
Émile_Bertin,Émile_Bertin,France,136,13,870,870,39
La_Galissonnière,La_Galissonnière,France,132,14,870,870,31
De_Grasse,De_Grasse,France,144,16,870,870,33
Dupleix,Dupleix,France,136,15,850,820,32
Montcalm,Montcalm,France,157,18,870,870,31
Algérie,Algérie,France,145,16,850,820,31
Toulon,Toulon,France,188,16,905,798,30
Charles_Martel,Charles_Martel,France,143,15,850,820,32
Cherbourg,Cherbourg,France,196,16,905,870,31
Bayard,Bayard,France,146,16,870,870,34
Metz,Metz,,,,,,
Saint,Saint,France,148,16,876,845,33
Brest,Brest,France,187,16,885,870,31
Carnot,Carnot,France,203,18,905,870,34
Le_Havre,Le_Havre,,,,,,
Henri_IV,Henri_IV,France,164,19,845,845,35
Marseille,Marseille,France,212,19,885,870,33
Colbert,Colbert,France,118,13,808,808,33
Brennus,Brennus,France,273,20,905,870,35
Amiral_Lartigue,Amiral_Lartigue,France,330,10,,,1
Condé,Condé,France,167,19,845,845,34
Chengan,Chengan,Pan-Asia,101,8,725,,19
Ning_Hai,Ning_Hai,Pan-Asia,120,12,850,850,21
Chungking,Chungking,Pan-Asia,114,11,841,841,32
Rahmat,Rahmat,Pan-Asia,126,12,746,746,32
Huanghe,Huanghe,Pan-Asia,123,13,950,950,33
Chumphon,Chumphon,Pan-Asia,130,12,792,792,32
Harbin,Harbin,Pan-Asia,133,13,870,870,33
Irian,Irian,Pan-Asia,153,17,950,950,32
Wukong,Wukong,Pan-Asia,154,17,876,845,32
Sejong,Sejong,Pan-Asia,127,13,808,808,33
Dalian,Dalian,Pan-Asia,130,13,950,950,33
Mengchong,Mengchong,Pan-Asia,203,18,865,865,33
Tianjin,Tianjin,Pan-Asia,166,19,995,995,33
Jinan,Jinan,Pan-Asia,139,15,808,808,35
Incheon,Incheon,,,,,,
Júpiter,Júpiter,Spain,83,9,808,,18
Méndez_Núñez,Méndez_Núñez,Spain,114,10,808,808,29
Navarra,Navarra,Spain,109,11,900,900,25
Almirante_Cervera,Almirante_Cervera,Spain,129,12,900,900,33
Galicia,Galicia,Spain,136,13,900,900,33
Baleares,Baleares,Spain,140,14,855,855,33
Canarias,Canarias,Spain,144,16,808,814,33
Asturias,Asturias,Spain,131,14,900,900,35
Cataluña,Cataluña,Spain,136,15,900,900,37
Numancia,Numancia,Spain,137,15,814,814,33
Andalucía,Andalucía,Spain,148,15,841,841,36
Almirante_Oquendo,Almirante_Oquendo,Spain,154,17,814,814,36
Castilla,Castilla,Spain,151,17,954,945,37
Willem_de_Eerste,Willem_de_Eerste,,,,,,
South_Carolina,South_Carolina,U.S.A.,202,14,823,823,15
Wyoming,Wyoming,U.S.A.,203,14,884,884,17
Arkansas_Beta,Arkansas_Beta,U.S.A.,203,14,884,884,20
New_York,New_York,U.S.A.,240,16,834,792,18
Oklahoma,Oklahoma,U.S.A.,231,17,792,792,19
Texas,Texas,U.S.A.,224,16,834,792,20
New_Mexico,New_Mexico,U.S.A.,220,14,861,823,18
Arizona,Arizona,U.S.A.,220,16,834,792,21
W._Virginia_'41,W._Virginia_'41,U.S.A.,220,16,803,768,21
Colorado,Colorado,U.S.A.,231,17,803,768,18
Florida,Florida,U.S.A.,204,18,861,823,27
West_Virginia_'44,West_Virginia_'44,U.S.A.,231,17,803,768,21
California,California,U.S.A.,259,19,861,823,20
Colorado_2,Colorado_2,,,,,,
North_Carolina,North_Carolina,U.S.A.,292,21,820,701,24
Kansas,Kansas,U.S.A.,266,20,803,768,23
Nebraska,Nebraska,U.S.A.,250,19,820,701,30
Alabama,Alabama,U.S.A.,271,21,803,701,27
Massachusetts,Massachusetts,U.S.A.,242,18,803,701,27
Alabama_VL,Alabama_VL,U.S.A.,271,21,803,701,27
Constellation,Constellation,U.S.A.,194,17,803,768,33
Massachusetts_B,Massachusetts_B,U.S.A.,242,18,803,701,27
Alabama_ST,Alabama_ST,U.S.A.,271,21,803,701,27
Tennessee,Tennessee,U.S.A.,116,20,861,823,20
North_Carolina_CLR,North_Carolina_CLR,U.S.A.,292,23,820,701,27
Alabama_B,Alabama_B,,,,,,
Volunteer_State,Volunteer_State,,,,,,
North_Carolina_2,North_Carolina_2,,,,,,
Iowa,Iowa,U.S.A.,272,21,820,762,28
Minnesota,Minnesota,U.S.A.,271,21,820,762,23
Delaware,Delaware,U.S.A.,275,19,820,762,33
Missouri,Missouri,U.S.A.,293,23,820,762,33
Kearsarge,Kearsarge,U.S.A.,255,19,820,701,30
Illinois,Illinois,U.S.A.,203,18,823,762,32
Kearsarge_B,Kearsarge_B,U.S.A.,255,19,820,701,30
Georgia,Georgia,U.S.A.,216,20,800,732,33
AL_Kearsarge,AL_Kearsarge,,,,,,
Iowa_2,Iowa_2,,,,,,
Montana,Montana,U.S.A.,296,23,820,762,30
Vermont,Vermont,U.S.A.,305,24,800,732,23
Louisiana,Louisiana,U.S.A.,288,22,820,762,31
Ohio,Ohio,U.S.A.,273,21,800,732,28
Oregon,Oregon,,,,,,
Rhode_Island,Rhode_Island,U.S.A.,224,21,861,823,33
Wisconsin,Wisconsin,U.S.A.,244,23,820,762,32
BA_Montana,BA_Montana,U.S.A.,296,23,820,762,30
Montana_2,Montana_2,,,,,,
Utah,Utah,,,,,,
Maine,Maine,U.S.A.,302,24,820,762,30
Yukon,Yukon,Commonwealth,216,15,731,836,28
Irresistible,Irresistible,,,,,,
Viribus_Unitis,Viribus_Unitis,Europe,222,16,800,800,20
Lugdunum,Lugdunum,Europe,237,17,921,780,27
Karl_XIV_Johan,Karl_XIV_Johan,Europe,250,19,865,865,30
Niord,Niord,Europe,274,21,820,820,32
Nassau,Nassau,Germany,168,10,855,855,18
Von_der_Tann,Von_der_Tann,Germany,155,11,855,855,27
König_Albert,König_Albert,Germany,178,11,850,855,21
Kaiser,Kaiser,Germany,205,14,850,855,22
Moltke,Moltke,Germany,173,13,855,855,28
König,König,Germany,209,14,850,850,21
Derfflinger,Derfflinger,Germany,181,14,850,855,26
Bayern,Bayern,Germany,237,16,800,800,22
Mackensen,Mackensen,Germany,187,15,815,815,28
Prinz_Eitel_Friedrich,Prinz_Eitel_Friedrich,Germany,238,17,815,815,28
Gneisenau,Gneisenau,Germany,255,17,820,820,28
Prinz_Heinrich,Prinz_Heinrich,Germany,180,15,800,800,28
Scharnhorst,Scharnhorst,Germany,258,19,890,890,30
AL_Prinz_Heinrich,AL_Prinz_Heinrich,Germany,194,17,800,800,28
Scharnhorst_B,Scharnhorst_B,Germany,258,19,890,890,30
Scharnhorst_'43,Scharnhorst_'43,Germany,248,18,890,890,30
Tirpitz,Tirpitz,Germany,274,21,820,820,30
Bismarck,Bismarck,Germany,272,19,820,820,28
Zieten,Zieten,Germany,185,16,810,810,31
Odin,Odin,Germany,250,19,865,865,30
Brandenburg,Brandenburg,Germany,244,18,865,865,32
Anhalt,Anhalt,Germany,271,21,815,815,25
Brandenburg_B,Brandenburg_B,Germany,244,18,865,865,32
Tirpitz_B,Tirpitz_B,Germany,274,21,820,820,30
BA_Tirpitz,BA_Tirpitz,Germany,5,0,,,5
Odin_TE,Odin_TE,,,,,,
AL_Bismarck,AL_Bismarck,,,,,,
Friedrich_der_Grosse,Friedrich_der_Grosse,Germany,263,18,810,810,27
Prinz_Rupprecht,Prinz_Rupprecht,Germany,205,17,810,810,32
Pommern,Pommern,Germany,273,21,820,820,31
Pommern_B,Pommern_B,Germany,273,21,820,820,31
Prinz_Sigismund,Prinz_Sigismund,,,,,,
Grosser_Kurfürst,Grosser_Kurfürst,Germany,266,20,810,810,30
Schlieffen,Schlieffen,Germany,214,19,835,835,34
Preussen,Preussen,Germany,266,20,810,810,30
Mecklenburg,Mecklenburg,Germany,232,21,865,865,32
Hannover,Hannover,Germany,274,21,810,810,30
Knyaz_Suvorov,Knyaz_Suvorov,U.S.S.R.,169,11,762,762,22
Imperator_Nikolai_I,Imperator_Nikolai_I,U.S.S.R.,201,14,762,762,21
Gangut,Gangut,U.S.S.R.,180,12,762,762,23
Pyotr_Velikiy,Pyotr_Velikiy,U.S.S.R.,223,14,731,823,26
Oktyabrskaya_Revolutsiya,Oktyabrskaya_Revolutsiya,U.S.S.R.,228,16,762,762,23
Izmail,Izmail,U.S.S.R.,216,15,731,823,28
Novorossiysk,Novorossiysk,U.S.S.R.,194,17,830,830,27
Sinop,Sinop,U.S.S.R.,220,15,766,766,27
Poltava,Poltava,U.S.S.R.,243,18,895,895,29
Arkhangelsk,Arkhangelsk,,,,,,
Vladivostok,Vladivostok,U.S.S.R.,227,16,793,793,29
Lenin,Lenin,U.S.S.R.,251,18,793,793,28
Borodino,Borodino,U.S.S.R.,212,19,830,830,31
Borodino_TE,Borodino_TE,,,,,,
Sovetsky_Soyuz,Sovetsky_Soyuz,U.S.S.R.,263,17,830,830,28
Navarin,Navarin,U.S.S.R.,268,20,793,793,27
AL_Sov._Rossiya,AL_Sov._Rossiya,U.S.S.R.,253,19,830,830,28
Zarya_Svobody,Zarya_Svobody,U.S.S.R.,253,19,830,830,28
Kremlin,Kremlin,U.S.S.R.,279,20,800,800,29
Slava,Slava,U.S.S.R.,228,24,870,870,29
Sibir,Sibir,,,,,,
Admiral_Ushakov,Admiral_Ushakov,U.S.S.R.,286,21,800,800,30
Dante_Alighieri,Dante_Alighieri,Italy,208,13,840,840,23
Conte_di_Cavour,Conte_di_Cavour,Italy,209,14,840,840,22
Giulio_Cesare,Giulio_Cesare,Italy,226,16,830,830,27
Andrea_Doria,Andrea_Doria,Italy,219,15,825,830,27
Francesco_Caracciolo,Francesco_Caracciolo,Italy,222,15,860,850,29
Vittorio_Veneto,Vittorio_Veneto,Italy,243,16,860,850,30
